id,department_id,slug,name
12317,62,garde-32,Lagarde
28290,99,saint-didier-sur-beaujeu,Saint-didier-sur-beaujeu
3,31,plagne-01,Plagne
18105,79,juvardeil,Juvardeil
13244,64,castanet-le-haut,Castanet-le-haut
31049,106,ifs-76,Les ifs
2947,39,suzan,Suzan
36316,5973,carbini,Carbini
26278,94,aramits,Aramits
32931,110,neuilly-l-hopital,Neuilly-l'hopital
30364,104,saint-andre-de-boege,Saint-andre-de-boege
14014,66,sainte-severe-sur-indre,Sainte-severe-sur-indre
13023,63,camblanes-et-meynac,Camblanes-et-meynac
35801,121,orsay,Orsay
16357,73,vissac-auteyrac,Vissac-auteyrac
4057,41,saint-couat-du-razes,Saint-couat-du-razes
16904,75,bouzonville-aux-bois,Bouzonville-aux-bois
11038,59,plouzane,Plouzane
342,31,champfromier,Champfromier
26693,95,arbeost,Arbeost
32805,110,belloy-saint-leonard,Belloy-saint-leonard
20647,84,murville,Murville
4372,42,saint-just-sur-viaur,Saint-just-sur-viaur
3583,40,onjon,Onjon
25403,92,quernes,Quernes
31785,108,freneuse-78,Freneuse
10869,58,levesville-la-chenard,Levesville-la-chenard
34884,118,attigneville,Attigneville
31193,107,germigny-l-eveque,Germigny-l'eveque
1927,35,laye,Laye
9663,56,poet-en-percip,Le poet-en-percip
21576,86,inzinzac-lochrist,Inzinzac-lochrist
11060,59,ploeven,Ploeven
16015,71,villebout,Villebout
6810,49,brignac-la-plaine,Brignac-la-plaine
6618,48,saugy,Saugy
21321,85,chanteraine,Chanteraine
17272,76,montcuq,Montcuq
8213,53,chapelle-baloue,La chapelle-baloue
10843,58,bercheres-saint-germain,Bercheres-saint-germain
27614,97,mulhausen,Mulhausen
28052,98,kientzheim,Kientzheim
17860,78,fraissinet-de-lozere,Fraissinet-de-lozere
2349,37,saint-romain-de-lerps,Saint-romain-de-lerps
15246,69,arsures,Les arsures
20875,84,coyviller,Coyviller
19009,81,nuisement-sur-coole,Nuisement-sur-coole
11152,59,brest,Brest
15220,69,verges,Verges
14666,68,estrablin,Estrablin
14355,68,sainte-agnes-38,Sainte-agnes
25200,92,fressin,Fressin
12872,63,cours-de-monsegur,Cours-de-monsegur
7170,51,saint-andeux,Saint-andeux
12140,62,brouilh-monbert,Le brouilh-monbert
22126,87,walschbronn,Walschbronn
28898,101,lugny-les-charolles,Lugny-les-charolles
27052,96,vinca,Vinca
4140,42,calmels-et-le-viala,Calmels-et-le-viala
22914,89,leval-59,Leval
4697,44,mathieu,Mathieu
19849,82,val-de-meuse,Val-de-meuse
27909,98,muhlbach-sur-munster,Muhlbach-sur-munster
31119,106,fongueusemare,Fongueusemare
3646,40,villy-le-marechal,Villy-le-marechal
3692,41,bizanet,Bizanet
7160,51,tart-le-bas,Tart-le-bas
